,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.PantT_60,grad.PantT_60,sd.PantT_60
3019,11,5/21/2017 12:00,0.2,20.53076923,0.005824176,0.197419247,62.46153846,-0.032967033,0.877058019,1.115384615,0.00043956,0.207549809,874.5384615,1.491208791,29.24213679,103.5114679,0.139667832,10.35990066,31.66737705,0.006395558,0.546772048,24.91770492,0.008099947,0.609921835
3021,11,5/21/2017 13:43,-0.2,23.08,-0.008,0.234757558,52.6,-0.012121212,0.843274043,1.15,0.009090909,0.302765035,950.6,0.063030303,2.065591118,99.43647799,-0.246264301,11.02692191,33.52679245,-0.05926786,0.960842526,25.60603774,-0.166552169,2.816942792
3022,11,5/21/2017 14:00,-0.3,22.725,-0.018,0.15,53.5,2.78e-16,0.577350269,0.75,-0.048,0.435889894,938.75,-0.78,5.123475383,90.28921569,-0.360637771,6.269361091,32.07588235,-0.043872549,0.26310784,23.28647059,-0.011936275,0.131050619
3024,11,5/21/2017 16:36,0.2,20.12857143,-0.009285714,0.287020822,58.71428571,-0.007142857,1.112697281,1.071428571,-0.031428571,0.442396073,699.5714286,-2.657142857,28.73358745,86.74415888,0.791636417,12.42252299,33.89029412,-0.053514133,0.893269396,29.75970588,-0.184948816,2.549482996
3025,11,5/21/2017 17:01,0.2,20.3,0.0,0.0,57.2,-0.1,0.836660027,0.6,0.01,0.273861279,619.0,-2.96,23.4520788,98.378,0.304751602,7.136460517,29.1032,-0.058876923,0.653297533,21.5032,-0.083961538,0.664484261
3026,11,5/21/2017 17:32,-0.2,19.68333333,-0.055428571,0.541910202,57.5,0.074285714,0.836660027,0.733333333,6.39e-14,0.25819889,528.1666667,-2.885714286,27.44752569,101.8596774,0.481378799,8.557383928,30.69451613,-0.049298387,0.979788544,21.53677419,0.134125,1.359824467
3029,11,5/21/2017 18:33,0.2,16.56666667,-0.035428571,0.338624669,69.66666667,0.297142857,2.804757862,0.5,0.020571429,0.346410162,89.33333333,-1.794285714,30.51993884,102.6607527,-0.556919309,10.11895188,25.88,0.195685484,1.951438785,18.97129032,0.077399194,1.085991841
3031,11,5/21/2017 19:18,-0.5,15.3,-0.052,0.355902608,76.75,0.26,1.707825128,0.3,0.024,0.2,34.5,-0.24,1.732050808,108.5416667,-0.71494234,11.01276771,23.94545455,-0.128763411,1.231533026,16.04863636,0.088712592,1.159233308
3032,11,5/21/2017 21:01,0.2,12.02222222,-0.032318841,0.562978192,89.55555556,0.144202899,2.505549396,0.577777778,0.014057971,0.330823887,0.777777778,-0.08115942,2.333333333,84.28519856,-0.12659006,5.923589872,30.33098361,-0.011464305,0.248184776,25.31409836,0.002647805,0.547988373
3033,11,5/22/2017 0:38,-0.1,10.55,0.000459137,0.052704628,96.0,4.21e-16,0.0,0.64,-0.015500459,0.330655914,0.0,0.0,0.0,74.52429881,0.048117657,7.749231572,31.83803279,0.016532522,0.524082753,23.43196721,0.012603384,0.339626362
3034,11,5/22/2017 9:06,-0.3,11.26,0.028166667,0.518973345,97.6,-0.03,0.699205899,0.28,0.008,0.193218357,431.8,5.48,109.8815524,,,,32.80032787,-0.080483342,1.606684959,22.04672131,0.038924379,0.881339362
3037,11,5/22/2017 11:50,0.2,17.00909091,0.006436782,0.197253874,76.0,-0.04137931,1.183215957,1.0,0.009655172,0.279284801,857.5454545,1.673563218,35.20046487,,,,31.07622951,0.01320624,0.627636211,21.60967213,0.015169223,0.582322841
3038,11,5/22/2017 12:22,-0.1,17.48333333,0.029142857,0.2786874,74.16666667,-0.062857143,0.752772653,1.383333333,0.014285714,0.204124145,916.8333333,0.828571429,7.935153853,102.2852564,0.150716064,6.991407721,30.91375,-0.03351173,0.462871472,24.57,0.074307185,0.981427532
3039,11,5/22/2017 14:01,0.2,19.06666667,0.010909091,0.238683257,68.08333333,-0.062237762,1.311372171,1.466666667,0.011188811,0.355050146,943.75,-0.248251748,6.552237647,106.9049587,0.195770959,14.38156591,30.71721311,0.001971973,0.556177823,22.68721311,-0.020004759,0.673872221
